Location_ID,Sensing_DateTime,Sensing_Date,Sensing_Time,Direction_1,Direction_2,Total_of_Directions
135,2026-06-02T20:10:00+05:30,2026-06-03,00:40,2,0,2
143,2026-06-02T20:20:00+05:30,2026-06-03,00:50,0,3,3
181,2026-06-02T20:11:00+05:30,2026-06-03,00:41,2,0,2
181,2026-06-02T20:15:00+05:30,2026-06-03,00:45,1,3,4
181,2026-06-02T20:16:00+05:30,2026-06-03,00:46,4,0,4
181,2026-06-02T20:23:00+05:30,2026-06-03,00:53,7,2,9
182,2026-06-02T20:20:00+05:30,2026-06-03,00:50,1,2,3
184,2026-06-02T20:10:00+05:30,2026-06-03,00:40,2,0,2
184,2026-06-02T20:15:00+05:30,2026-06-03,00:45,2,0,2
185,2026-06-02T20:20:00+05:30,2026-06-03,00:50,4,3,7
209,2026-06-02T20:10:00+05:30,2026-06-03,00:40,1,0,1
2,2026-06-02T20:10:00+05:30,2026-06-03,00:40,1,0,1
2,2026-06-02T20:22:00+05:30,2026-06-03,00:52,0,1,1
2,2026-06-02T20:24:00+05:30,2026-06-03,00:54,0,1,1
17,2026-06-02T20:14:00+05:30,2026-06-03,00:44,1,0,1
17,2026-06-02T20:15:00+05:30,2026-06-03,00:45,0,1,1
17,2026-06-02T20:16:00+05:30,2026-06-03,00:46,1,0,1
17,2026-06-02T20:19:00+05:30,2026-06-03,00:49,0,1,1
17,2026-06-02T20:21:00+05:30,2026-06-03,00:51,1,0,1
19,2026-06-02T20:22:00+05:30,2026-06-03,00:52,6,1,7
19,2026-06-02T20:24:00+05:30,2026-06-03,00:54,0,1,1
20,2026-06-02T20:18:00+05:30,2026-06-03,00:48,1,0,1
20,2026-06-02T20:24:00+05:30,2026-06-03,00:54,1,0,1
24,2026-06-02T20:21:00+05:30,2026-06-03,00:51,1,0,1
24,2026-06-02T20:23:00+05:30,2026-06-03,00:53,1,0,1
30,2026-06-02T20:10:00+05:30,2026-06-03,00:40,1,0,1
30,2026-06-02T20:15:00+05:30,2026-06-03,00:45,0,1,1
30,2026-06-02T20:21:00+05:30,2026-06-03,00:51,1,0,1
30,2026-06-02T20:22:00+05:30,2026-06-03,00:52,2,0,2
49,2026-06-02T20:10:00+05:30,2026-06-03,00:40,0,3,3
49,2026-06-02T20:12:00+05:30,2026-06-03,00:42,0,1,1
49,2026-06-02T20:14:00+05:30,2026-06-03,00:44,5,0,5
